backend,circuit,dtype,max_abs_err,mode,n,peak_alloc_bytes,peak_smi_bytes,rel_err,trials,wall_s
jax,ghz,complex64,,end-to-end,14,,951058432,,5,0.00815244000000348
jax,ghz,complex64,,end-to-end,16,,951058432,,5,0.009815667999987454
jax,ghz,complex64,,end-to-end,18,,955252736,,5,0.01134440599997788
jax,ghz,complex64,,end-to-end,20,,980418560,,5,0.014255434999995487
jax,ghz,complex64,,end-to-end,22,,1081081856,,5,0.02454115100002241
jax,ghz,bf16,0.0,end-to-end,14,,1018167296,0.0,5,0.020300944999974035
jax,ghz,bf16,0.0,end-to-end,16,,1018167296,0.0,5,0.02588900399996419
jax,ghz,bf16,0.0,end-to-end,18,,1018167296,0.0,5,0.027413889000001745
jax,ghz,bf16,0.0,end-to-end,20,,1085276160,0.0,5,0.031577260000005936
jax,ghz,bf16,0.0,end-to-end,22,,1085276160,0.0,5,0.04371639400000049
jax,brickwork,complex64,,end-to-end,18,,955252736,,5,0.11508758299999045
jax,brickwork,complex64,,end-to-end,20,,967835648,,5,0.1268660039999645
jax,brickwork,complex64,,end-to-end,22,,1022361600,,5,0.14693997699998818
jax,brickwork,bf16,0.0002415627968730405,end-to-end,18,,1018167296,0.12217097729444504,5,0.18593717000004517
jax,brickwork,bf16,0.0001382041082251817,end-to-end,20,,1087373312,0.13960608839988708,5,0.19550047699999595
jax,brickwork,bf16,7.476388418581337e-05,end-to-end,22,,1087373312,0.15079934895038605,5,0.22807700499998873
jax,qaoa-ising,complex64,,end-to-end,18,,963641344,,5,0.0752173249999828
jax,qaoa-ising,complex64,,end-to-end,20,,980418560,,5,0.09380450199995494
jax,qaoa-ising,complex64,,end-to-end,22,,1081081856,,5,0.11606978200001095
jax,qaoa-ising,bf16,0.00039975004619918764,end-to-end,18,,1018167296,0.0398382768034935,5,0.12092296499997701
jax,qaoa-ising,bf16,0.0002504627627786249,end-to-end,20,,1085276160,0.041279107332229614,5,0.13327710799995884
jax,qaoa-ising,bf16,0.00016964206588454545,end-to-end,22,,1085276160,0.04624558612704277,5,0.15895215000000462
