backend,circuit,dtype,max_abs_err,mode,n,peak_alloc_bytes,peak_smi_bytes,rel_err,trials,wall_s
tensorflow,ghz,complex64,,end-to-end,14,,1121976320,,5,0.01721935000000485
tensorflow,ghz,complex64,,end-to-end,16,,1121976320,,5,0.022825835000006123
tensorflow,ghz,complex64,,end-to-end,18,,1126170624,,5,0.02438314399999797
tensorflow,ghz,complex64,,end-to-end,20,,1151336448,,5,0.03473205800000301
tensorflow,ghz,complex64,,end-to-end,22,,1251999744,,5,0.04179862200000173
tensorflow,ghz,bf16,7.551908493041992e-05,end-to-end,14,,1173356544,0.00010680011473596096,5,0.06671170599999243
tensorflow,ghz,bf16,7.551908493041992e-05,end-to-end,16,,1197473792,0.00010680011473596096,5,0.05478258600000174
tensorflow,ghz,bf16,7.551908493041992e-05,end-to-end,18,,1197473792,0.00010680011473596096,5,0.07168384599999911
tensorflow,ghz,bf16,7.551908493041992e-05,end-to-end,20,,1200619520,0.00010680011473596096,5,0.0774636360000045
tensorflow,ghz,bf16,7.551908493041992e-05,end-to-end,22,,1465909248,0.00010680011473596096,5,0.09465074099998105
tensorflow,brickwork,complex64,,end-to-end,18,,1201668096,,5,0.12890041999997948
tensorflow,brickwork,complex64,,end-to-end,20,,1201668096,,5,0.14213886799998932
tensorflow,brickwork,complex64,,end-to-end,22,,1272971264,,5,0.1749008000000174
tensorflow,brickwork,bf16,0.00022731667559128255,end-to-end,18,,1205862400,0.11638621985912323,5,0.2995191649999924
tensorflow,brickwork,bf16,0.0001309751096414402,end-to-end,20,,1113587712,0.13411861658096313,5,0.333928788999998
tensorflow,brickwork,bf16,7.031532004475594e-05,end-to-end,22,,1365245952,0.1440058946609497,5,0.3708394000000226
tensorflow,qaoa-ising,complex64,,end-to-end,18,,1101004800,,5,0.0928048570000044
tensorflow,qaoa-ising,complex64,,end-to-end,20,,1102053376,,5,0.09988226900000541
tensorflow,qaoa-ising,complex64,,end-to-end,22,,1232076800,,5,0.12054055500001937
tensorflow,qaoa-ising,bf16,0.00043257942888885736,end-to-end,18,,1114636288,0.04291968792676926,5,0.21578941800001417
tensorflow,qaoa-ising,bf16,0.00027310740551911294,end-to-end,20,,1164967936,0.044794440269470215,5,0.22316539300001637
tensorflow,qaoa-ising,bf16,0.00018524701590649784,end-to-end,22,,1370488832,0.050227515399456024,5,0.2663168690000077
