n,depth,node_id,M,N,K,transpose,bytes,consumer_count,class,global_bytes_eliminated,pack_bytes,recompute_ratio,net_gain,c1_large
24,10,0,1,2,2,0,16,1,tileable-with-pack,16,4,0.0000,12,0
24,10,1,1,8,2,0,64,1,tileable-with-pack,64,16,0.0000,48,0
24,10,2,1,2,2,0,16,1,tileable-with-pack,16,4,0.0000,12,0
24,10,3,4,1,2,0,32,1,tileable-with-pack,32,8,0.0000,24,0
24,10,4,2,2,2,1,32,1,tileable-with-pack,32,8,0.0000,24,0
24,10,5,2,8,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,6,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,7,1,2,2,0,16,1,tileable-with-pack,16,4,0.0000,12,0
24,10,8,1,8,2,0,64,1,tileable-with-pack,64,16,0.0000,48,0
24,10,9,1,2,2,0,16,1,tileable-with-pack,16,4,0.0000,12,0
24,10,10,4,1,2,0,32,1,tileable-with-pack,32,8,0.0000,24,0
24,10,11,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,12,2,8,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,13,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,14,4,4,4,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,15,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,16,2,8,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,17,8,8,2,1,512,1,tileable-with-pack,512,128,0.0000,384,0
24,10,18,4,16,4,1,512,1,tileable-with-pack,512,128,0.0000,384,0
24,10,19,2,8,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,20,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,21,8,8,2,1,512,1,tileable-with-pack,512,128,0.0000,384,0
24,10,22,32,8,2,1,2048,1,tileable-with-pack,2048,512,0.0000,1536,0
24,10,23,8,32,8,1,2048,1,tileable-with-pack,2048,512,0.0000,1536,0
24,10,24,1,2,2,0,16,1,tileable-with-pack,16,4,0.0000,12,0
24,10,25,1,8,2,0,64,1,tileable-with-pack,64,16,0.0000,48,0
24,10,26,1,2,2,0,16,1,tileable-with-pack,16,4,0.0000,12,0
24,10,27,4,1,2,0,32,1,tileable-with-pack,32,8,0.0000,24,0
24,10,28,2,8,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,29,1,2,2,0,16,1,tileable-with-pack,16,4,0.0000,12,0
24,10,30,1,8,2,0,64,1,tileable-with-pack,64,16,0.0000,48,0
24,10,31,1,2,2,0,16,1,tileable-with-pack,16,4,0.0000,12,0
24,10,32,4,1,2,0,32,1,tileable-with-pack,32,8,0.0000,24,0
24,10,33,8,2,2,0,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,34,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,35,8,8,2,1,512,1,tileable-with-pack,512,128,0.0000,384,0
24,10,36,64,16,4,1,8192,1,tileable-with-pack,8192,2048,0.0000,6144,0
24,10,37,2,8,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,38,8,2,2,0,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,39,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,40,8,8,2,0,512,1,tileable-with-pack,512,128,0.0000,384,0
24,10,41,2,8,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,42,8,8,2,1,512,1,tileable-with-pack,512,128,0.0000,384,0
24,10,43,16,16,4,1,2048,1,tileable-with-pack,2048,512,0.0000,1536,0
24,10,44,64,16,16,0,8192,1,direct-gemm-tileable,8192,0,0.0000,8192,0
24,10,45,1,2,2,0,16,1,tileable-with-pack,16,4,0.0000,12,0
24,10,46,1,8,2,0,64,1,tileable-with-pack,64,16,0.0000,48,0
24,10,47,1,2,2,0,16,1,tileable-with-pack,16,4,0.0000,12,0
24,10,48,4,1,2,0,32,1,tileable-with-pack,32,8,0.0000,24,0
24,10,49,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,50,2,8,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,51,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,52,2,8,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,53,8,8,2,1,512,1,tileable-with-pack,512,128,0.0000,384,0
24,10,54,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,55,8,2,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,56,2,8,2,1,128,1,tileable-with-pack,128,32,0.0000,96,0
24,10,57,8,8,2,1,512,1,tileable-with-pack,512,128,0.0000,384,0
24,10,58,16,16,4,1,2048,1,tileable-with-pack,2048,512,0.0000,1536,0
