n,depth,output,node_id,modes,extents,M,N,K,batch,transpose,strides,bytes,consumer_count,producer_ids,consumer_ids,live_range
22,10,expectation,0,ba,2;2,2,2,2097152,1,0,2;1,32,1,-1;-1,1,0;1
22,10,expectation,1,,,1,1,4,1,0,,8,1,0;-1,2,1;2
22,10,state,0,Q,2,1,2,2,1,0,1,16,1,-1;-1,1,0;1
22,10,state,1,ÌÍR,2;2;2,1,8,2,1,0,4;2;1,64,1,0;-1,3,1;3
22,10,state,2,R,2,1,2,2,1,0,1,16,1,-1;-1,3,2;3
22,10,state,3,ÌÍ,2;2,4,1,2,1,0,2;1,32,1,1;2,4,3;4
22,10,state,4,Ì÷,2;2,2,2,2,1,0,2;1,32,1,3;-1,5,4;5
22,10,state,5,÷àáË,2;2;2;2,2,8,2,1,1,8;4;2;1,128,1,4;-1,7,5;7
22,10,state,6,áČč÷,2;2;2;2,2,8,2,1,1,8;4;2;1,128,1,-1;-1,7,6;7
22,10,state,7,àËČč,2;2;2;2,4,4,4,1,1,8;4;2;1,128,1,5;6,8,7;8
22,10,state,8,ËČčõ,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,7;-1,9,8;9
22,10,state,9,ËČčĊċô,2;2;2;2;2;2,8,8,2,1,0,32;16;8;4;2;1,512,1,8;-1,12,9;12
22,10,state,10,ĠċČĶ,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,-1;-1,11,10;11
22,10,state,11,ċČĶĵ,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,10;-1,12,11;12
22,10,state,12,ËčĊôĶĵ,2;2;2;2;2;2,16,4,4,1,1,32;16;8;4;2;1,512,1,9;11,25,12;25
22,10,state,13,N,2,1,2,2,1,0,1,16,1,-1;-1,14,13;14
22,10,state,14,ÈÉM,2;2;2,1,8,2,1,0,4;2;1,64,1,13;-1,16,14;16
22,10,state,15,M,2,1,2,2,1,0,1,16,1,-1;-1,16,15;16
22,10,state,16,ÈÉ,2;2,4,1,2,1,0,2;1,32,1,14;15,17,16;17
22,10,state,17,ÈÞßÊ,2;2;2;2,2,8,2,1,0,8;4;2;1,128,1,16;-1,18,17;18
22,10,state,18,ÈßÊó,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,17;-1,19,18;19
22,10,state,19,ÈÊóô,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,18;-1,24,19;24
22,10,state,20,P,2,1,2,2,1,0,1,16,1,-1;-1,21,20;21
22,10,state,21,ÊËO,2;2;2,1,8,2,1,0,4;2;1,64,1,20;-1,23,21;23
22,10,state,22,O,2,1,2,2,1,0,1,16,1,-1;-1,23,22;23
22,10,state,23,ÊË,2;2,4,1,2,1,0,2;1,32,1,21;22,24,23;24
22,10,state,24,ÈóôË,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,19;23,25,24;25
22,10,state,25,čĊĶĵÈó,2;2;2;2;2;2,16,4,4,1,1,32;16;8;4;2;1,512,1,12;24,29,25;29
22,10,state,26,šŋŌŵ,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,-1;-1,28,26;28
22,10,state,27,čŌōĶ,2;2;2;2,2,8,2,1,1,8;4;2;1,128,1,-1;-1,28,27;28
22,10,state,28,šŋŵčōĶ,2;2;2;2;2;2,8,8,2,1,1,32;16;8;4;2;1,512,1,26;27,29,28;29
22,10,state,29,ĊĵÈóšŋŵō,2;2;2;2;2;2;2;2,16,16,4,1,1,128;64;32;16;8;4;2;1,2048,1,25;28,33,29;33
22,10,state,30,ĞĉĊĴ,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,-1;-1,31,30;31
22,10,state,31,ĉĊĴĳ,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,30;-1,32,31;32
22,10,state,32,ĉĊĳŊŋĵ,2;2;2;2;2;2,8,8,2,1,1,32;16;8;4;2;1,512,1,31;-1,33,32;33
22,10,state,33,ÈóšŵōĉĳŊ,2;2;2;2;2;2;2;2,32,8,8,1,1,128;64;32;16;8;4;2;1,2048,1,29;32,34,33;34
22,10,state,34,ÈšŵōĳŊĈò,2;2;2;2;2;2;2;2,64,4,4,1,1,128;64;32;16;8;4;2;1,2048,1,33;-1,55,34;55
22,10,state,35,K,2,1,2,2,1,0,1,16,1,-1;-1,36,35;36
22,10,state,36,ÆÇL,2;2;2,1,8,2,1,0,4;2;1,64,1,35;-1,38,36;38
22,10,state,37,L,2,1,2,2,1,0,1,16,1,-1;-1,38,37;38
22,10,state,38,ÆÇ,2;2,4,1,2,1,0,2;1,32,1,36;37,40,38;40
22,10,state,39,ÝÇÈñ,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,-1;-1,40,39;40
22,10,state,40,ÆÝÈñ,2;2;2;2,2,8,2,1,0,8;4;2;1,128,1,38;39,41,40;41
22,10,state,41,ÆÈñò,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,40;-1,49,41;49
22,10,state,42,I,2,1,2,2,1,0,1,16,1,-1;-1,43,42;43
22,10,state,43,ÄÅJ,2;2;2,1,8,2,1,0,4;2;1,64,1,42;-1,45,43;45
22,10,state,44,J,2,1,2,2,1,0,1,16,1,-1;-1,45,44;45
22,10,state,45,ÄÅ,2;2,4,1,2,1,0,2;1,32,1,43;44,46,45;46
22,10,state,46,ÄÚÛÆ,2;2;2;2,2,8,2,1,0,8;4;2;1,128,1,45;-1,47,46;47
22,10,state,47,ÄÛÆï,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,46;-1,48,47;48
22,10,state,48,ÄÆïð,2;2;2;2,8,2,2,1,1,8;4;2;1,128,1,47;-1,49,48;49
22,10,state,49,ÈñòÄïð,2;2;2;2;2;2,8,8,2,1,1,32;16;8;4;2;1,512,1,41;48,50,49;50
22,10,state,50,ÈòÄïĆć,2;2;2;2;2;2,16,4,4,1,0,32;16;8;4;2;1,512,1,49;-1,54,50;54
