M,N,K,out_dtype,ws_cap,op,aligned,algo_count,first_algo_id,workspace_bytes,status
262144,64,4,bf16,0,N,0,1,21,0,ok
262144,64,4,bf16,0,T,0,0,-1,0,no-algo
262144,64,4,bf16,1MiB,N,0,1,21,0,ok
262144,64,4,bf16,1MiB,T,0,0,-1,0,no-algo
262144,64,4,bf16,16MiB,N,0,1,21,0,ok
262144,64,4,bf16,16MiB,T,0,0,-1,0,no-algo
262144,64,4,bf16,max,N,0,1,21,0,ok
262144,64,4,bf16,max,T,0,0,-1,0,no-algo
262144,64,4,fp32,0,N,0,1,21,0,ok
262144,64,4,fp32,0,T,0,0,-1,0,no-algo
262144,64,4,fp32,1MiB,N,0,1,21,0,ok
262144,64,4,fp32,1MiB,T,0,0,-1,0,no-algo
262144,64,4,fp32,16MiB,N,0,1,21,0,ok
262144,64,4,fp32,16MiB,T,0,0,-1,0,no-algo
262144,64,4,fp32,max,N,0,1,21,0,ok
262144,64,4,fp32,max,T,0,0,-1,0,no-algo
8388608,2,2,bf16,0,N,0,2,21,0,ok
8388608,2,2,bf16,0,T,0,2,21,0,ok
8388608,2,2,bf16,1MiB,N,0,2,21,0,ok
8388608,2,2,bf16,1MiB,T,0,2,21,0,ok
8388608,2,2,bf16,16MiB,N,0,2,21,0,ok
8388608,2,2,bf16,16MiB,T,0,2,21,0,ok
8388608,2,2,bf16,max,N,0,2,21,0,ok
8388608,2,2,bf16,max,T,0,2,21,0,ok
8388608,2,2,fp32,0,N,0,2,21,0,ok
8388608,2,2,fp32,0,T,0,2,21,0,ok
8388608,2,2,fp32,1MiB,N,0,2,21,0,ok
8388608,2,2,fp32,1MiB,T,0,2,21,0,ok
8388608,2,2,fp32,16MiB,N,0,2,21,0,ok
8388608,2,2,fp32,16MiB,T,0,2,21,0,ok
8388608,2,2,fp32,max,N,0,2,21,0,ok
8388608,2,2,fp32,max,T,0,2,21,0,ok
4194304,4,4,bf16,0,N,0,2,21,0,ok
4194304,4,4,bf16,0,T,0,2,21,0,ok
4194304,4,4,bf16,1MiB,N,0,2,21,0,ok
4194304,4,4,bf16,1MiB,T,0,2,21,0,ok
4194304,4,4,bf16,16MiB,N,0,2,21,0,ok
4194304,4,4,bf16,16MiB,T,0,2,21,0,ok
4194304,4,4,bf16,max,N,0,2,21,0,ok
4194304,4,4,bf16,max,T,0,2,21,0,ok
4194304,4,4,fp32,0,N,0,2,21,0,ok
4194304,4,4,fp32,0,T,0,2,21,0,ok
4194304,4,4,fp32,1MiB,N,0,2,21,0,ok
4194304,4,4,fp32,1MiB,T,0,2,21,0,ok
4194304,4,4,fp32,16MiB,N,0,2,21,0,ok
4194304,4,4,fp32,16MiB,T,0,2,21,0,ok
4194304,4,4,fp32,max,N,0,2,21,0,ok
4194304,4,4,fp32,max,T,0,2,21,0,ok
16384,1024,1024,bf16,0,N,1,3,21,0,ok
16384,1024,1024,bf16,0,T,1,3,21,0,ok
16384,1024,1024,bf16,1MiB,N,1,3,21,0,ok
16384,1024,1024,bf16,1MiB,T,1,3,21,0,ok
16384,1024,1024,bf16,16MiB,N,1,3,21,0,ok
16384,1024,1024,bf16,16MiB,T,1,3,21,0,ok
16384,1024,1024,bf16,max,N,1,3,21,0,ok
16384,1024,1024,bf16,max,T,1,3,21,0,ok
16384,1024,1024,fp32,0,N,1,3,21,0,ok
16384,1024,1024,fp32,0,T,1,3,21,0,ok
16384,1024,1024,fp32,1MiB,N,1,3,21,0,ok
16384,1024,1024,fp32,1MiB,T,1,3,21,0,ok
16384,1024,1024,fp32,16MiB,N,1,3,21,0,ok
16384,1024,1024,fp32,16MiB,T,1,3,21,0,ok
16384,1024,1024,fp32,max,N,1,3,21,0,ok
16384,1024,1024,fp32,max,T,1,3,21,0,ok
2097152,8,8,bf16,0,N,0,3,21,0,ok
2097152,8,8,bf16,0,T,0,3,21,0,ok
2097152,8,8,bf16,1MiB,N,0,3,21,0,ok
2097152,8,8,bf16,1MiB,T,0,3,21,0,ok
2097152,8,8,bf16,16MiB,N,0,3,21,0,ok
2097152,8,8,bf16,16MiB,T,0,3,21,0,ok
2097152,8,8,bf16,max,N,0,3,21,0,ok
2097152,8,8,bf16,max,T,0,3,21,0,ok
2097152,8,8,fp32,0,N,0,3,21,0,ok
2097152,8,8,fp32,0,T,0,3,21,0,ok
2097152,8,8,fp32,1MiB,N,0,3,21,0,ok
2097152,8,8,fp32,1MiB,T,0,3,21,0,ok
2097152,8,8,fp32,16MiB,N,0,3,21,0,ok
2097152,8,8,fp32,16MiB,T,0,3,21,0,ok
2097152,8,8,fp32,max,N,0,3,21,0,ok
2097152,8,8,fp32,max,T,0,3,21,0,ok
524288,32,32,bf16,0,N,1,2,21,0,ok
524288,32,32,bf16,0,T,1,2,21,0,ok
524288,32,32,bf16,1MiB,N,1,2,21,0,ok
524288,32,32,bf16,1MiB,T,1,2,21,0,ok
524288,32,32,bf16,16MiB,N,1,2,21,0,ok
524288,32,32,bf16,16MiB,T,1,2,21,0,ok
524288,32,32,bf16,max,N,1,2,21,0,ok
524288,32,32,bf16,max,T,1,2,21,0,ok
524288,32,32,fp32,0,N,1,2,21,0,ok
524288,32,32,fp32,0,T,1,2,21,0,ok
524288,32,32,fp32,1MiB,N,1,2,21,0,ok
524288,32,32,fp32,1MiB,T,1,2,21,0,ok
