strategy,BM_p,BN_p,BK_p,BM_c,BN_c,materialized_latency_ms,kernel_only_latency_ms,registers_per_thread,occupancy_pct,rel_l2,infeasible,failure_reason
direct,,,,,,104.16975600000455,20210.05859375,60,66.7,,,
tiled,32,32,32,8,16,,6430.88037109375,64,66.7,8.497975159116322e-07,False,
tiled,32,32,32,16,16,,3479.62109375,64,66.7,8.497975159116322e-07,False,
tiled,32,32,32,8,32,,6139.22705078125,64,66.7,8.497975159116322e-07,False,
tiled,64,32,32,8,16,,8569.21875,64,66.7,8.497975159116322e-07,False,
tiled,64,32,32,16,16,,3253.00390625,64,66.7,8.497975159116322e-07,False,
tiled,32,64,32,8,16,,8494.98828125,64,66.7,8.497975159116322e-07,False,
tiled,64,64,32,8,16,,12079.853515625,64,66.7,8.497975159116322e-07,False,
tiled,16,16,16,8,8,,6912.65966796875,64,66.7,8.497975159116322e-07,False,
tiled,32,32,64,8,16,,5985.05908203125,64,66.7,8.497975159116322e-07,False,
tiled,64,32,16,16,16,,3007.640869140625,64,66.7,8.497975159116322e-07,False,
persistent,16,16,4,2,,,1587.3126220703125,56,75.0,8.497975159116322e-07,False,
persistent,16,16,8,2,,,1148.51025390625,56,66.7,8.497975159116322e-07,False,
persistent,16,32,8,2,,,1767.450927734375,56,66.7,8.497975159116322e-07,False,
persistent,16,32,4,2,,,2533.040771484375,56,75.0,8.497975159116322e-07,False,
persistent,8,16,4,2,,,1688.4002685546875,56,75.0,8.497975159116322e-07,False,
persistent,8,32,8,2,,,1766.964111328125,56,66.7,8.497975159116322e-07,False,
persistent,32,16,8,2,,,1195.33740234375,56,66.7,8.497975159116322e-07,False,
persistent,32,32,8,2,,,1708.37060546875,56,66.7,8.497975159116322e-07,False,
persistent,16,64,8,2,,,1838.4525146484375,56,66.7,8.497975159116322e-07,False,
persistent,64,16,8,2,,,1211.8564453125,56,66.7,8.497975159116322e-07,False,
persistent,16,16,4,1,,,2913.6044921875,56,75.0,8.497975159116322e-07,False,
persistent,16,16,4,4,,,1756.2073974609375,56,75.0,8.497975159116322e-07,False,
